feature_name,slice_len,instances,precision,recall,f1
workclass,Private,4578,0.7438307873090482,0.6323676323676324,0.683585313174946
workclass,Self-emp-not-inc,498,0.7047619047619048,0.4713375796178344,0.5648854961832062
workclass,?,389,0.6538461538461539,0.40476190476190477,0.5
workclass,Local-gov,387,0.7525773195876289,0.6636363636363637,0.7053140096618359
workclass,State-gov,254,0.71875,0.6301369863013698,0.6715328467153284
workclass,Self-emp-inc,212,0.7796610169491526,0.7796610169491526,0.7796610169491526
workclass,Federal-gov,191,0.7910447761194029,0.7571428571428571,0.7737226277372262
education,HS-grad,2085,0.6428571428571429,0.41739130434782606,0.5061511423550089
education,Some-college,1485,0.7033492822966507,0.5306859205776173,0.6049382716049383
education,Bachelors,1053,0.7559241706161137,0.7088888888888889,0.731651376146789
education,Masters,369,0.8309859154929577,0.855072463768116,0.8428571428571429
education,Assoc-voc,273,0.6792452830188679,0.5714285714285714,0.6206896551724137
education,11th,225,1.0,0.2727272727272727,0.42857142857142855
education,Assoc-acdm,198,0.6666666666666666,0.5531914893617021,0.6046511627906976
education,10th,183,0.4,0.16666666666666666,0.23529411764705882
education,7th-8th,141,0.0,0.0,0.0
education,Prof-school,116,0.8279569892473119,0.9166666666666666,0.8700564971751412
education,9th,115,1.0,0.3333333333333333,0.5
education,12th,98,1.0,0.4,0.5714285714285715
education,Doctorate,77,0.8524590163934426,0.9122807017543859,0.8813559322033898
education,5th-6th,62,1.0,0.5,0.6666666666666666
marital-status,Married-civ-spouse,2950,0.7374071015689513,0.6785714285714286,0.706766917293233
marital-status,Never-married,2126,0.8181818181818182,0.4368932038834951,0.5696202531645569
marital-status,Divorced,920,0.7551020408163265,0.3592233009708738,0.48684210526315785
marital-status,Separated,209,1.0,0.42105263157894735,0.5925925925925926
marital-status,Widowed,208,1.0,0.15789473684210525,0.2727272727272727
marital-status,Married-spouse-absent,96,1.0,0.25,0.4
occupation,Exec-managerial,838,0.8032786885245902,0.7405541561712846,0.7706422018348624
occupation,Prof-specialty,828,0.7872340425531915,0.7551020408163265,0.7708333333333333
occupation,Craft-repair,821,0.6466165413533834,0.47513812154696133,0.5477707006369427
occupation,Sales,729,0.7456647398843931,0.671875,0.7068493150684931
occupation,Adm-clerical,726,0.6527777777777778,0.4895833333333333,0.5595238095238094
occupation,Other-service,667,0.8333333333333334,0.19230769230769232,0.3125
occupation,?,389,0.6538461538461539,0.40476190476190477,0.5
occupation,Machine-op-inspct,378,0.5625,0.3829787234042553,0.45569620253164556
occupation,Transport-moving,317,0.5909090909090909,0.40625,0.4814814814814815
occupation,Handlers-cleaners,273,0.6666666666666666,0.3333333333333333,0.4444444444444444
occupation,Farming-fishing,193,0.5454545454545454,0.21428571428571427,0.30769230769230765
occupation,Tech-support,189,0.7021276595744681,0.6470588235294118,0.673469387755102
occupation,Protective-serv,136,0.7428571428571429,0.6190476190476191,0.6753246753246753
occupation,Priv-house-serv,26,1.0,1.0,1.0
relationship,Husband,2590,0.7393320964749536,0.6811965811965812,0.7090747330960854
relationship,Not-in-family,1702,0.7959183673469388,0.4148936170212766,0.5454545454545454
relationship,Own-child,1019,1.0,0.17647058823529413,0.3
relationship,Unmarried,702,0.8571428571428571,0.26666666666666666,0.4067796610169491
relationship,Wife,322,0.7196969696969697,0.6643356643356644,0.6909090909090909
relationship,Other-relative,178,1.0,0.375,0.5454545454545454
race,White,5595,0.7423616845582164,0.6295518207282913,0.6813186813186813
race,Black,599,0.7755102040816326,0.5846153846153846,0.6666666666666666
race,Asian-Pac-Islander,193,0.7777777777777778,0.6774193548387096,0.7241379310344828
race,Amer-Indian-Eskimo,71,0.5555555555555556,0.5,0.5263157894736842
race,Other,55,0.8,0.6666666666666666,0.7272727272727272
sex,Male,4387,0.7467921300256629,0.6524663677130045,0.6964499401675309
sex,Female,2126,0.7232704402515723,0.49356223175965663,0.586734693877551
native-country,United-States,5870,0.74212271973466,0.6236933797909407,0.6777735706171905
native-country,?,125,0.7692307692307693,0.6451612903225806,0.7017543859649122
native-country,Mexico,114,1.0,0.3333333333333333,0.5
native-country,Philippines,35,1.0,0.6875,0.8148148148148148
native-country,Germany,32,0.8333333333333334,0.7692307692307693,0.8
